job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,folder,emb_e_dim,emb_r_dim,train_type,num_negs_s,num_negs_o,label_smoothing,train_loss,margin,transe_l_norm,train_optimizer,train_batch_size,train_lr,train_lr_scheduler,train_lr_scheduler_patience,emb_regularize,emb_regularize_p,emb_e_regularize_weight,emb_r_regularize_weight,emb_regularize_weighted,transe_normalize_e,transe_normalize_r,emb_e_dropout,emb_r_dropout,conve_feature_map_dropout,conve_projection_dropout,emb_initialize,emb_initialize_normal_std,emb_initialize_uniform_interval,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
212073d1,fb15k-237,complex,0,search,1vsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.2060942846,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adam,512,0.0012035456,ReduceLROnPlateau,1,,,1.36933737348599E-14,0.0578649111,0,,,-0.197625041,-0.072629869,0.2,0.3,normal_,0.0014722429,-0.0017387558,0.118770982,0.0638722554,0.1180211008,0.2278585732,0.1875073792,0.1112346724,0.2046193331,0.3410607278,0.2060942846,0.1303678304,0.2238665521,0.3591103554
212073d1,fb15k-237,complex,1,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0390840285,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,1024,0.0365770004,ReduceLROnPlateau,8,lp,3,2.23652701640815E-09,2.15120207858148E-14,1,,,0.3890230656,0.3601883054,0.2,0.3,uniform_,0.3676145842,-0.8306411155,0.0385902929,0.0229826067,0.0442258343,0.0667522103,0.0390350994,0.0230396353,0.0448246375,0.0681494176,0.0390840285,0.0230396353,0.0449386947,0.0682919845
212073d1,fb15k-237,complex,1,search,1vsAll,valid,105,,,,mean_reciprocal_rank_filtered_with_test,0.1292366996,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adam,256,0.082489794,ReduceLROnPlateau,2,lp,2,2.79801514835175E-11,1.31345024889081E-08,0,,,0.3003667593,-0.2942189723,0.2,0.3,xavier_normal_,0.2208493797,-0.1838440257,0.1176384814,0.0926717967,0.12557742,0.1594525278,0.1281571901,0.1049044728,0.1361277401,0.163416028,0.1292366996,0.1063016802,0.1369546652,0.1636726558
212073d1,fb15k-237,complex,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0007642333,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adagrad,1024,0.0033937138,ReduceLROnPlateau,6,lp,1,3.08607821210318E-19,2.0668507048718E-16,1,,,0.1174488068,-0.4905600809,0.2,0.3,normal_,2.49363250961034E-05,-0.4138463343,0.0007267079,8.55432008393109E-05,0.0001996008,0.0007698888,0.0007605856,8.55432008393109E-05,0.0001996008,0.0007698888,0.0007642333,8.55432008393109E-05,0.0001996008,0.0007698888
212073d1,fb15k-237,complex,1,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0293059041,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,128,0.6179931506,ReduceLROnPlateau,3,lp,2,0.0003170017,9.21360558167466E-10,0,,,-0.3088635057,0.2000701427,0.2,0.3,xavier_uniform_,0.0074096187,-0.7388474831,0.0292681866,0.0271742232,0.0290276594,0.0296264607,0.0293051697,0.0272312518,0.0290561728,0.029654976,0.0293059041,0.0272312518,0.0290561728,0.029654976
212073d1,fb15k-237,complex,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.1489676479,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,256,0.0694891127,ReduceLROnPlateau,8,lp,2,9.55600582506551E-07,2.56097725402286E-17,0,,,-0.0616104603,-0.0355002582,0.2,0.3,xavier_uniform_,0.0028310176,-0.8659906377,0.0710107547,0.0229540914,0.0640148297,0.1650128365,0.1335048096,0.0612774454,0.1416880488,0.2861135006,0.1489676479,0.0761049315,0.1588537246,0.3017393649
212073d1,fb15k-237,complex,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0776466737,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,1024,0.1955909663,ReduceLROnPlateau,3,,,0.0417223173,0.0027712143,1,,,0.137742877,-0.3987434581,0.2,0.3,uniform_,1.36121060023331E-05,-0.7038794864,0.0620221471,0.0295124035,0.0630453378,0.1201881915,0.0753729845,0.0327345319,0.0794696286,0.1604220122,0.0776466737,0.0334188752,0.0828343332,0.1674080342
212073d1,fb15k-237,complex,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2934402122,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adam,512,0.0006336281,ReduceLROnPlateau,1,,,5.81986130670505E-12,6.76831334207101E-11,1,,,0.3701971769,0.2800917625,0.2,0.3,normal_,0.8061999399,-0.0367067823,0.1821106949,0.117450811,0.1901340187,0.3154833317,0.2602369758,0.179070428,0.2872825861,0.4213857949,0.2934402122,0.214599371,0.3220131099,0.4463073909
212073d1,fb15k-237,complex,1,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.024236749,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,1024,0.0014309326,ReduceLROnPlateau,9,,,6.54747209382999E-10,3.09682142351644E-12,0,,,0.4441971779,-0.3156849444,0.2,0.3,xavier_uniform_,0.1003523226,-0.9484858561,0.0240130857,0.0069575137,0.0251211859,0.0479897335,0.0242167451,0.0069575137,0.0251211859,0.0483604223,0.024236749,0.0069575137,0.0251211859,0.0483604223
212073d1,fb15k-237,complex,1,search,1vsAll,valid,70,,,,mean_reciprocal_rank_filtered_with_test,0.2907693541,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adam,128,0.0045900393,ReduceLROnPlateau,4,lp,1,9.08428136275733E-05,2.51717573472611E-07,1,,,-0.3640178591,-0.2493017316,0.2,0.3,xavier_normal_,0.0387055412,-0.6066909127,0.1463087358,0.0883376077,0.1433133781,0.275477618,0.2638162013,0.1806957573,0.2909038961,0.4328485727,0.2907693541,0.2090390623,0.3193327487,0.4531223178
212073d1,fb15k-237,complex,1,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2345563616,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adagrad,128,0.0106837622,ReduceLROnPlateau,6,lp,3,4.08332907478858E-17,8.7822358316721E-16,0,,,-0.4463434331,0.1590365767,0.2,0.3,normal_,0.0032187519,-0.3784968419,0.1582321824,0.1033646986,0.1650128365,0.2701168954,0.2119189077,0.1452238411,0.2322212756,0.3452523649,0.2345563616,0.1693755388,0.2550898194,0.3611633778
212073d1,fb15k-237,complex,0,search,1vsAll,valid,380,,,,mean_reciprocal_rank_filtered_with_test,0.1358229272,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adam,128,0.0261961404,ReduceLROnPlateau,2,lp,3,6.72563290307127E-14,0.0002118745,1,,,-0.1277831793,0.1189295053,0.2,0.3,xavier_normal_,0.0002835269,-0.1488492966,0.086447167,0.0338180773,0.0828058198,0.1977188438,0.1260928339,0.0587111488,0.1317365319,0.2696892023,0.1358229272,0.0678072423,0.1423723996,0.2818933427
212073d1,fb15k-237,complex,1,search,1vsAll,valid,85,,,,mean_reciprocal_rank_filtered_with_test,0.3028386308,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adam,1024,0.0003385821,ReduceLROnPlateau,7,,,9.5841732831856E-13,0.0228586277,1,,,0.079317987,0.0564395785,0.2,0.3,xavier_normal_,0.0003706651,-0.2092997824,0.1660857275,0.1035072729,0.1706301719,0.2979754806,0.2701169647,0.188565731,0.2955517471,0.4353293478,0.3028386308,0.2242372334,0.3282007277,0.4624750614
212073d1,fb15k-237,complex,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2385091703,/work/pi1/iclr2020/fb15k-237/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adagrad,512,0.5033757903,ReduceLROnPlateau,7,lp,2,1.48371000847612E-18,1.43621759987118E-18,0,,,0.0476195812,0.4431256652,0.2,0.3,uniform_,9.08034024262762E-05,-0.3109555604,0.1267497928,0.0639577955,0.1288565695,0.2571428418,0.2116319955,0.1239806116,0.2379526645,0.3941545486,0.2385091703,0.1506986022,0.2671228945,0.4181351662
