job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,emb_initialize,emb_regularize,emb_regularize_p,emb_regularize_weighted,emb_e_dim,emb_e_regularize_weight,emb_e_dropout,emb_r_dim,emb_r_regularize_weight,emb_r_dropout,train_type,train_loss,train_batch_size,train_optimizer,train_lr,train_lr_scheduler,train_lr_scheduler_patience,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10,folder
cd3a6fe4,wnrr,distmult,1,search,KvsAll,valid,255,,,,mean_reciprocal_rank_filtered_with_test,0.4536818,uniform_,lp,3,1,512,,0.3667933783,512,,0.5,KvsAll,kl,1024,Adagrad,0.3312683798,ReduceLROnPlateau,7,0.276571436,0.160349369,0.3536585271,0.490771234,0.4479659803,0.4090309739,0.4634146094,0.5215886235,0.4536818,0.4189189076,0.465557009,0.524060607,/work/pi1/iclr2020/wnrr/distmult-KvsAll-kl-bo-best
cd3a6fe4,wnrr,distmult,1,search,KvsAll,valid,250,,,,mean_reciprocal_rank_filtered_with_test,0.4524644363,uniform_,lp,3,1,512,,0.3667933783,512,,0.5,KvsAll,kl,1024,Adagrad,0.3312683798,ReduceLROnPlateau,7,0.2746518864,0.1577125937,0.3526697457,0.4912656546,0.4462322519,0.4063941836,0.4620962441,0.5232366323,0.4524644363,0.4174357057,0.46390903,0.524060607,/work/pi1/iclr2020/wnrr/distmult-KvsAll-kl-bo-best
cd3a6fe4,wnrr,distmult,1,search,KvsAll,valid,165,,,,mean_reciprocal_rank_filtered_with_test,0.4548339844,uniform_,lp,3,1,512,,0.3667933783,512,,0.5,KvsAll,kl,1024,Adagrad,0.3312683798,ReduceLROnPlateau,7,0.2779560328,0.1600197703,0.3590968847,0.4952208102,0.4482526081,0.4068885744,0.4673697948,0.5252142549,0.4548339844,0.4185893238,0.46868819,0.5281805992,/work/pi1/iclr2020/wnrr/distmult-KvsAll-kl-bo-best
cd3a6fe4,wnrr,distmult,1,search,KvsAll,valid,150,,,,mean_reciprocal_rank_filtered_with_test,0.4534927398,uniform_,lp,3,1,512,,0.3667933783,512,,0.5,KvsAll,kl,1024,Adagrad,0.3312683798,ReduceLROnPlateau,7,0.2776306394,0.1631509513,0.3549769223,0.4882992506,0.4471786791,0.4090309739,0.4632498324,0.518787086,0.4534927398,0.4200724959,0.4653922021,0.5209294558,/work/pi1/iclr2020/wnrr/distmult-KvsAll-kl-bo-best
cd3a6fe4,wnrr,distmult,1,search,KvsAll,valid,220,,,,mean_reciprocal_rank_filtered_with_test,0.4536899675,uniform_,lp,3,1,512,,0.3667933783,512,,0.5,KvsAll,kl,1024,Adagrad,0.3312683798,ReduceLROnPlateau,7,0.2767576194,0.1598549783,0.3562953174,0.4914304316,0.4477834783,0.4075477719,0.4657218158,0.5217534304,0.4536899675,0.4176005125,0.4673697948,0.5243902206,/work/pi1/iclr2020/wnrr/distmult-KvsAll-kl-bo-best
d91e3d62,wnrr,rescal,1,search,KvsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.4678299262,uniform_,lp,3,0,128,,-0.2982180917,16384,,0.2378480107,KvsAll,kl,128,Adam,0.0008535391,ReduceLROnPlateau,8,0.2749820878,0.1631509513,0.3548121154,0.4792353213,0.4567322703,0.4240276814,0.4729729593,0.5159854889,0.4678299262,0.4411667585,0.4805537164,0.5168094635,/work/pi1/iclr2020/wnrr/rescal-KvsAll-kl-bo-best
d91e3d62,wnrr,rescal,1,search,KvsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.4652216691,uniform_,lp,3,0,128,,-0.2982180917,16384,,0.2378480107,KvsAll,kl,128,Adam,0.0008535391,ReduceLROnPlateau,8,0.273012326,0.1605141759,0.353823334,0.4792353213,0.4549452719,0.4215556979,0.4729729593,0.5151615143,0.4652216691,0.4375411868,0.4779169261,0.5164799094,/work/pi1/iclr2020/wnrr/rescal-KvsAll-kl-bo-best
d91e3d62,wnrr,rescal,1,search,KvsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.4682304971,uniform_,lp,3,0,128,,-0.2982180917,16384,,0.2378480107,KvsAll,kl,128,Adam,0.0008535391,ReduceLROnPlateau,8,0.275093838,0.1634805501,0.353823334,0.4790705144,0.4588923596,0.4269940555,0.4737969637,0.5179630518,0.4682304971,0.4410019517,0.4807185233,0.5189518929,/work/pi1/iclr2020/wnrr/rescal-KvsAll-kl-bo-best
d91e3d62,wnrr,rescal,1,search,KvsAll,valid,365,,,,mean_reciprocal_rank_filtered_with_test,0.4678268684,uniform_,lp,3,0,128,,-0.2982180917,16384,,0.2378480107,KvsAll,kl,128,Adam,0.0008535391,ReduceLROnPlateau,8,0.2762979245,0.165128544,0.3567897081,0.4777521193,0.4584327652,0.4281476438,0.4714897573,0.5128542781,0.4678268684,0.4426499605,0.4784113169,0.5156558752,/work/pi1/iclr2020/wnrr/rescal-KvsAll-kl-bo-best
d91e3d62,wnrr,rescal,1,search,KvsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.4703213837,uniform_,lp,3,0,128,,-0.2982180917,16384,,0.2378480107,KvsAll,kl,128,Adam,0.0008535391,ReduceLROnPlateau,8,0.2756083519,0.1646341383,0.3529993296,0.4805537164,0.4589785008,0.4273236692,0.4714897573,0.5181278586,0.4703213837,0.4446275532,0.4789057374,0.5204350352,/work/pi1/iclr2020/wnrr/rescal-KvsAll-kl-bo-best
3487addc,wnrr,transe,1,search,negative_sampling,valid,270,,,,mean_reciprocal_rank_filtered_with_test,0.2264096707,xavier_normal_,lp,2,0,512,,0.2519204934,512,,-0.0259482068,negative_sampling,kl,128,Adagrad,0.2532720169,ReduceLROnPlateau,5,0.183137817,0.0466381013,0.2427488416,0.4886288643,0.225389937,0.051911667,0.3607448936,0.5145022869,0.2264096707,0.0522412658,0.3625576794,0.5151615143,/work/pi1/iclr2020/wnrr/transe-negative_sampling-kl-bo-best
3487addc,wnrr,transe,1,search,negative_sampling,valid,190,,,,mean_reciprocal_rank_filtered_with_test,0.2258780573,xavier_normal_,lp,2,0,512,,0.2519204934,512,,-0.0259482068,negative_sampling,kl,128,Adagrad,0.2532720169,ReduceLROnPlateau,5,0.1829016628,0.0448253118,0.2470336109,0.4871456623,0.2247925408,0.0496044829,0.3640408516,0.5131838918,0.2258780573,0.0500988774,0.3658536375,0.514007926,/work/pi1/iclr2020/wnrr/transe-negative_sampling-kl-bo-best
3487addc,wnrr,transe,1,search,negative_sampling,valid,205,,,,mean_reciprocal_rank_filtered_with_test,0.2254711294,xavier_normal_,lp,2,0,512,,0.2519204934,512,,-0.0259482068,negative_sampling,kl,128,Adagrad,0.2532720169,ReduceLROnPlateau,5,0.1825444643,0.0446605124,0.2480224073,0.4866512716,0.2243113609,0.0491100848,0.3609096706,0.5133486986,0.2254711294,0.0494396836,0.3628872633,0.5146670938,/work/pi1/iclr2020/wnrr/transe-negative_sampling-kl-bo-best
3487addc,wnrr,transe,1,search,negative_sampling,valid,240,,,,mean_reciprocal_rank_filtered_with_test,0.2262733173,xavier_normal_,lp,2,0,512,,0.2519204934,512,,-0.0259482068,negative_sampling,kl,128,Adagrad,0.2532720169,ReduceLROnPlateau,5,0.1828014799,0.045649305,0.2462096214,0.4897824526,0.2251980001,0.0509228744,0.3609096706,0.5161502957,0.2262733173,0.05108767,0.363381654,0.5169742703,/work/pi1/iclr2020/wnrr/transe-negative_sampling-kl-bo-best
3487addc,wnrr,transe,1,search,negative_sampling,valid,350,,,,mean_reciprocal_rank_filtered_with_test,0.2264562015,xavier_normal_,lp,2,0,512,,0.2519204934,512,,-0.0259482068,negative_sampling,kl,128,Adagrad,0.2532720169,ReduceLROnPlateau,5,0.1837617274,0.0474620946,0.2435728312,0.487475276,0.2254375541,0.0520764664,0.360085696,0.5153262615,0.2264562015,0.0524060614,0.361733675,0.5166446567,/work/pi1/iclr2020/wnrr/transe-negative_sampling-kl-bo-best
