job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,emb_initialize,emb_regularize,emb_regularize_p,emb_regularize_weighted,emb_e_dim,emb_e_regularize_weight,emb_e_dropout,emb_r_dim,emb_r_regularize_weight,emb_r_dropout,train_type,train_loss,train_batch_size,train_optimizer,train_lr,train_lr_scheduler,train_lr_scheduler_patience,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10,folder
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,345,,,,mean_reciprocal_rank_filtered_with_test,0.3545120139185914,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.1889242441456373,0.11913315951824188,0.1934131681919098,0.33624181151390076,0.31153129009837466,0.21573995053768158,0.34710580110549927,0.5038779377937317,0.3545120139185914,0.2609637975692749,0.3909609317779541,0.5392358303070068,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,355,,,,mean_reciprocal_rank_filtered_with_test,0.3534209761281009,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.1883240772918449,0.11867693066596985,0.19418306648731232,0.334616482257843,0.3108959814745509,0.2153407484292984,0.34539490938186646,0.5039634704589844,0.3534209761281009,0.2607641816139221,0.3884516656398773,0.5408040881156921,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,315,,,,mean_reciprocal_rank_filtered_with_test,0.3530137270102652,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.18805351072408755,0.11807812750339508,0.19381237030029297,0.33421728014945984,0.3105071107784431,0.2156544029712677,0.3439691960811615,0.5021955966949463,0.3530137270102652,0.2595665752887726,0.3894781768321991,0.5383233428001404,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,250,,,,mean_reciprocal_rank_filtered_with_test,0.35338530528229256,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.18907862288815228,0.11927573382854462,0.19580838084220886,0.3343028128147125,0.3113732356715141,0.21676646173000336,0.3463073968887329,0.5026233196258545,0.35338530528229256,0.26102080941200256,0.38808098435401917,0.5401482582092285,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
e7d884f9,fb15k-237,complex,1,search,negative_sampling,valid,260,,,,mean_reciprocal_rank_filtered_with_test,0.3522152124322783,uniform_,lp,3,1,256,,0.5,256,,0.22684140529516872,negative_sampling,kl,1024,Adagrad,0.18255429345236635,ReduceLROnPlateau,7,0.1886277528648061,0.1193612739443779,0.19429711997509003,0.3330481946468353,0.3101554146171942,0.21611063182353973,0.3433418869972229,0.5006558299064636,0.3522152124322783,0.2600228190422058,0.387710303068161,0.5364413857460022,/work/pi1/iclr2020/fb15k-237/complex-negative_sampling-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,355,,,,mean_reciprocal_rank_filtered_with_test,0.34291216673795266,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.1889595669152766,0.11879099160432816,0.19478186964988708,0.33678358793258667,0.3035049877922726,0.21151982247829437,0.3345024287700653,0.4912460744380951,0.34291216673795266,0.2536641061306,0.3752495050430298,0.5236954689025879,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,385,,,,mean_reciprocal_rank_filtered_with_test,0.3417871845594525,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.1876391330063088,0.11733675748109818,0.19386939704418182,0.3352437913417816,0.3025045333440262,0.2102936953306198,0.3343598544597626,0.4881094992160797,0.3417871845594525,0.25203877687454224,0.3739093244075775,0.521043598651886,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.3419760089196607,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.18697640990340747,0.11656686663627625,0.1928999125957489,0.33424580097198486,0.30236677871934703,0.2099800407886505,0.33433133363723755,0.4902195632457733,0.3419760089196607,0.252238392829895,0.37405189871788025,0.5227544903755188,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,390,,,,mean_reciprocal_rank_filtered_with_test,0.34362327242835755,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.187678702305211,0.11710864305496216,0.19386939704418182,0.33686912059783936,0.30398187999001997,0.21203307807445526,0.3347875773906708,0.4928143620491028,0.34362327242835755,0.2539777457714081,0.3745366334915161,0.5261191725730896,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
fb4d372a,fb15k-237,conve,1,search,1vsAll,valid,395,,,,mean_reciprocal_rank_filtered_with_test,0.3428116701864129,xavier_normal_,lp,3,1,288,,-0.4457199978380867,288,,0.11757230155305998,1vsAll,kl,1024,Adagrad,0.004276645525573683,ReduceLROnPlateau,9,0.18775704728934986,0.11762189865112305,0.19218705594539642,0.3373538553714752,0.304161348062803,0.21294553577899933,0.3338465988636017,0.4915882647037506,0.3428116701864129,0.2536641061306,0.37319645285606384,0.5248645544052124,/work/pi1/iclr2020/fb15k-237/conve-1vsAll-kl-bo-best
