job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,folder,emb_e_dim,emb_r_dim,train_type,num_negs_s,num_negs_o,label_smoothing,train_loss,margin,transe_l_norm,train_optimizer,train_batch_size,train_lr,train_lr_scheduler,train_lr_scheduler_patience,emb_regularize,emb_regularize_p,emb_e_regularize_weight,emb_r_regularize_weight,emb_regularize_weighted,transe_normalize_e,transe_normalize_r,emb_e_dropout,emb_r_dropout,conve_feature_map_dropout,conve_projection_dropout,emb_initialize,emb_initialize_normal_std,emb_initialize_uniform_interval,raw_mrr,raw_hits@1,raw_hits@3,raw_hits@10,fil_mrr,fil_hits@1,fil_hits@3,fil_hits@10,fwt_mrr,fwt_hits@1,fwt_hits@3,fwt_hits@10
8319c14d,wnrr,complex,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0009679142,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,256,0.0087222029,ReduceLROnPlateau,4,lp,3,0.0122141542,1.42755957918739E-05,0,,,0.1929162741,0.4177547693,0.2,0.3,xavier_uniform_,4.93947755758922E-05,-0.5716961538,0.0009620783,0.0004943968,0.0006591958,0.0013183915,0.0009679132,0.0004943968,0.0006591958,0.0013183915,0.0009679142,0.0004943968,0.0006591958,0.0013183915
8319c14d,wnrr,complex,0,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0052016503,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adam,512,0.0012035456,ReduceLROnPlateau,1,,,1.36933737348599E-14,0.0578649111,0,,,-0.197625041,-0.072629869,0.2,0.3,normal_,0.0014722429,-0.0017387558,0.0052002895,0.0023071852,0.0037903755,0.0115359258,0.0052016478,0.0023071852,0.0037903755,0.0115359258,0.0052016503,0.0023071852,0.0037903755,0.0115359258
8319c14d,wnrr,complex,1,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0006957152,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,1024,0.0365770004,ReduceLROnPlateau,8,lp,3,2.23652701640815E-09,2.15120207858148E-14,1,,,0.3890230656,0.3601883054,0.2,0.3,uniform_,0.3676145842,-0.8306411155,0.0006956468,0.0001647989,0.0004943968,0.0008239947,0.0006957142,0.0001647989,0.0004943968,0.0008239947,0.0006957152,0.0001647989,0.0004943968,0.0008239947
8319c14d,wnrr,complex,1,search,1vsAll,valid,35,,,,mean_reciprocal_rank_filtered_with_test,0.0007679421,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,128,0.6179931506,ReduceLROnPlateau,3,lp,2,0.0003170017,9.21360558167466E-10,0,,,-0.3088635057,0.2000701427,0.2,0.3,xavier_uniform_,0.0074096187,-0.7388474831,0.0007678466,0.0001647989,0.0003295979,0.0016479894,0.0007679235,0.0001647989,0.0003295979,0.0016479894,0.0007679421,0.0001647989,0.0003295979,0.0016479894
8319c14d,wnrr,complex,0,search,1vsAll,valid,5,,,,mean_reciprocal_rank_filtered_with_test,0.0003633117,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adagrad,1024,0.0033937138,ReduceLROnPlateau,6,lp,1,3.08607821210318E-19,2.0668507048718E-16,1,,,0.1174488068,-0.4905600809,0.2,0.3,normal_,2.49363250961034E-05,-0.4138463343,0.0003632717,0,0,0.0004943968,0.0003633112,0,0,0.0004943968,0.0003633117,0,0,0.0004943968
8319c14d,wnrr,complex,0,search,1vsAll,valid,400,,,,mean_reciprocal_rank_filtered_with_test,0.2297879686,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adagrad,256,0.0694891127,ReduceLROnPlateau,8,lp,2,9.55600582506551E-07,2.56097725402286E-17,0,,,-0.0616104603,-0.0355002582,0.2,0.3,xavier_uniform_,0.0028310176,-0.8659906377,0.1220355402,0.0529004596,0.1596901715,0.2635135055,0.2282124006,0.2035266906,0.2386288643,0.2729070485,0.2297879686,0.2064930797,0.2389584631,0.2729070485
8319c14d,wnrr,complex,1,search,1vsAll,valid,30,,,,mean_reciprocal_rank_filtered_with_test,0.0003961373,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,128,128,1vsAll,,,0,bce,1,,Adam,512,0.0006336281,ReduceLROnPlateau,1,,,5.81986130670505E-12,6.76831334207101E-11,1,,,0.3701971769,0.2800917625,0.2,0.3,normal_,0.8061999399,-0.0367067823,0.0003960816,0.0001647989,0.0001647989,0.0001647989,0.0003961362,0.0001647989,0.0001647989,0.0001647989,0.0003961373,0.0001647989,0.0001647989,0.0001647989
8319c14d,wnrr,complex,1,search,1vsAll,valid,50,,,,mean_reciprocal_rank_filtered_with_test,0.0099899503,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adagrad,128,0.0106837622,ReduceLROnPlateau,6,lp,3,4.08332907478858E-17,8.7822358316721E-16,0,,,-0.4463434331,0.1590365767,0.2,0.3,normal_,0.0032187519,-0.3784968419,0.0097425407,0.0049439683,0.0092287408,0.0179630853,0.0099899484,0.005438365,0.0092287408,0.0179630853,0.0099899503,0.005438365,0.0092287408,0.0179630853
8319c14d,wnrr,complex,0,search,1vsAll,valid,25,,,,mean_reciprocal_rank_filtered_with_test,0.3474414803,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,256,256,1vsAll,,,0,bce,1,,Adam,1024,0.1955909663,ReduceLROnPlateau,3,,,0.0417223173,0.0027712143,1,,,0.137742877,-0.3987434581,0.2,0.3,uniform_,1.36121060023331E-05,-0.7038794864,0.2136407097,0.1257415861,0.2862557471,0.3698088229,0.3433867664,0.3228411376,0.3561305106,0.3755767941,0.3474414803,0.330421865,0.3567897081,0.3755767941
8319c14d,wnrr,complex,0,search,1vsAll,valid,40,,,,mean_reciprocal_rank_filtered_with_test,0.2695144321,/work/pi1/iclr2020/wnrr/complex-1vsAll-bce,512,512,1vsAll,,,0,bce,1,,Adam,128,0.0261961404,ReduceLROnPlateau,2,lp,3,6.72563290307127E-14,0.0002118745,1,,,-0.1277831793,0.1189295053,0.2,0.3,xavier_normal_,0.0002835269,-0.1488492966,0.2035063591,0.1402439028,0.2498351932,0.3109756112,0.2675991876,0.2379696667,0.2827949822,0.3159195781,0.2695144321,0.2414304465,0.2831245661,0.3160843551
